category,date_actual,merchant,avg_unit_price,avg_discount,avg_price_delta,coupons_used
Category 1,2025-09-09,Merchant 1,35.285,1.765,3.86,{'WELCOME'}
Category 1,2025-09-09,Merchant 15,57.68,0,-14.3,{'NONE'}
Category 1,2025-09-09,Merchant 17,76.33,7.63,18.08,{'SAVE10'}
Category 1,2025-09-09,Merchant 7,59.3,5.93,-35.46,{'SAVE10'}
Category 1,2025-09-09,Merchant 9,94.395,4.72,56.94,{'WELCOME'}
Category 1,2025-09-10,Merchant 11,18.755,0.645,6.23,"{'NONE','WELCOME'}"
Category 1,2025-09-10,Merchant 12,102.62,0,40.81,{'NONE'}
Category 1,2025-09-10,Merchant 14,78.3,7.83,-5.76,{'SAVE10'}
Category 1,2025-09-10,Merchant 15,72.93375,1.915,21.20125,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-10,Merchant 17,49.32666666666667,2.466666666666667,-3.76,{'WELCOME'}
Category 1,2025-09-10,Merchant 18,44.64,2.105,13.385,"{'NONE','WELCOME'}"
Category 1,2025-09-10,Merchant 19,58.875,2.3775,-29.0325,"{'NONE','WELCOME'}"
Category 1,2025-09-10,Merchant 2,103.04,5.15,1.72,{'WELCOME'}
Category 1,2025-09-10,Merchant 3,41.006,2.654,-32.496,"{'SAVE10','WELCOME'}"
Category 1,2025-09-10,Merchant 5,54.61,2.73,24.78,{'WELCOME'}
Category 1,2025-09-10,Merchant 6,56.7,5.38,36.59,"{'SAVE10','WELCOME'}"
Category 1,2025-09-10,Merchant 7,61.336666666666666,3.3066666666666666,-23.523333333333333,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-10,Merchant 8,49.42333333333333,3.8266666666666667,-33.78333333333333,"{'NONE','SAVE10'}"
Category 1,2025-09-10,Merchant 9,54.834,1.008,-8.452,"{'NONE','WELCOME'}"
Category 1,2025-09-11,Merchant 1,75.085,3.0825,42.3425,"{'NONE','SAVE10'}"
Category 1,2025-09-11,Merchant 10,38.52,0,22.32,{'NONE'}
Category 1,2025-09-11,Merchant 11,27.64,1.38,14.38,{'WELCOME'}
Category 1,2025-09-11,Merchant 12,46.6,3.0966666666666667,-18.30666666666667,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-11,Merchant 14,19.95,1,-57.28,{'WELCOME'}
Category 1,2025-09-11,Merchant 15,44.75,1.538,-23.622,"{'NONE','WELCOME'}"
Category 1,2025-09-11,Merchant 18,91.21666666666667,7.64,54.42666666666667,"{'SAVE10','WELCOME'}"
Category 1,2025-09-11,Merchant 19,42.682,2.928,-51.422,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-11,Merchant 2,103.8,0,7.63,{'NONE'}
Category 1,2025-09-11,Merchant 20,55.443333333333335,4.276666666666666,-0.3333333333333333,"{'SAVE10','WELCOME'}"
Category 1,2025-09-11,Merchant 3,34.95,0,-45.49,{'NONE'}
Category 1,2025-09-11,Merchant 5,103.29,10.33,49.72,{'SAVE10'}
Category 1,2025-09-11,Merchant 6,14.45,0.72,-1,{'WELCOME'}
Category 1,2025-09-11,Merchant 7,29.705,1.2525,-38.0925,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-11,Merchant 8,9.89,0.49,-48.56,{'WELCOME'}
Category 1,2025-09-11,Merchant 9,62.645,3.045,-6.685,"{'NONE','SAVE10'}"
Category 1,2025-09-12,Merchant 1,88.59,0,58.93,{'NONE'}
Category 1,2025-09-12,Merchant 10,41.235,3.96,21.075,"{'SAVE10','WELCOME'}"
Category 1,2025-09-12,Merchant 11,53.01,1.695,39.435,"{'NONE','WELCOME'}"
Category 1,2025-09-12,Merchant 12,44.02,4.4,-22.19,{'SAVE10'}
Category 1,2025-09-12,Merchant 13,30.17,1.51,11.71,{'WELCOME'}
Category 1,2025-09-12,Merchant 14,35.68333333333333,2.29,-42.836666666666666,"{'SAVE10','WELCOME'}"
Category 1,2025-09-12,Merchant 15,78.83333333333333,6.273333333333333,15.306666666666667,"{'SAVE10','WELCOME'}"
Category 1,2025-09-12,Merchant 18,51.1,1.225,20.725,"{'NONE','WELCOME'}"
Category 1,2025-09-12,Merchant 19,32.18666666666667,0.805,-51.01166666666666,"{'NONE','WELCOME'}"
