week_start,category,merchant,revenue_gained,revenue_lost
2025-09-22,Category 6,Merchant 3,504.77,30
2025-09-08,Category 10,Merchant 4,3424.68,185.02
2025-09-08,Category 5,Merchant 17,520.69,24.99
2025-10-13,Category 5,Merchant 12,4546.77,240.98
2025-10-27,Category 2,Merchant 9,5509.53,228.57
2025-09-29,Category 7,Merchant 20,3090.42,124.04
2025-09-08,Category 6,Merchant 19,7344.77,373.95
2025-09-15,Category 8,Merchant 10,5804.62,248.35
2025-10-27,Category 4,Merchant 6,1300.63,70.19
2025-10-13,Category 5,Merchant 19,8865.49,344.29
2025-11-03,Category 9,Merchant 11,1854.62,115.24
2025-09-15,Category 10,Merchant 18,1230.05,69.05
2025-10-27,Category 10,Merchant 3,4134.69,178.92
2025-10-13,Category 8,Merchant 8,1661.12,77.6
2025-10-27,Category 1,Merchant 8,2563.18,109.27
2025-09-29,Category 9,Merchant 18,4173.51,230.43
2025-11-03,Category 10,Merchant 16,1610.55,68.93
2025-09-08,Category 9,Merchant 20,915.78,52.15
2025-10-06,Category 5,Merchant 9,1513.67,98.75
2025-09-29,Category 10,Merchant 20,4128.46,268.07
2025-09-08,Category 6,Merchant 13,3490.49,185.18
2025-11-03,Category 3,Merchant 12,2595.05,136.07
2025-09-08,Category 3,Merchant 3,6962.53,407.68
2025-09-29,Category 10,Merchant 13,727.19,49.48
2025-10-27,Category 7,Merchant 8,3872.16,160.74
2025-10-13,Category 3,Merchant 15,3394.54,203.35
2025-11-03,Category 6,Merchant 2,3717.83,271.58
2025-10-27,Category 1,Merchant 17,1362.6,52.89
2025-09-15,Category 9,Merchant 2,3913.85,198.37
2025-09-22,Category 7,Merchant 9,4522.97,215.26
2025-11-03,Category 1,Merchant 20,856.91,43.96
2025-10-27,Category 3,Merchant 3,7127.83,447.05
2025-09-29,Category 6,Merchant 16,3191.92,120.98
2025-09-15,Category 3,Merchant 18,3110.65,161.05
2025-10-27,Category 7,Merchant 12,5234.9,240.81
2025-09-08,Category 2,Merchant 13,3825.62,198.36
2025-09-29,Category 1,Merchant 14,2471.06,143.84
2025-10-06,Category 3,Merchant 7,4259.72,190.97
2025-09-08,Category 9,Merchant 18,3837.63,238.43
2025-10-20,Category 2,Merchant 2,7493.29,411.14
2025-09-08,Category 10,Merchant 6,2023.1,141.37
2025-09-15,Category 6,Merchant 10,2678.58,181.08
2025-10-20,Category 10,Merchant 5,1432.41,85.44
2025-10-06,Category 1,Merchant 1,1566.21,74.78
2025-10-13,Category 10,Merchant 10,2462.23,139.38
2025-10-27,Category 2,Merchant 8,2675.99,134.75
2025-10-06,Category 5,Merchant 5,7863.58,481.4
2025-09-15,Category 1,Merchant 11,1698.81,64.46
2025-10-27,Category 10,Merchant 5,943.39,15.57
2025-09-29,Category 7,Merchant 19,4187.86,204.58
2025-09-08,Category 3,Merchant 20,1528.78,68.83
2025-11-03,Category 3,Merchant 4,2194.22,120.46
2025-11-03,Category 2,Merchant 6,1627.26,106.04
2025-09-15,Category 7,Merchant 8,3839.32,215.1
2025-10-13,Category 5,Merchant 16,5884.4,305.33
2025-09-22,Category 9,Merchant 4,930.3,59.83
2025-10-27,Category 2,Merchant 16,4313.9,231.2
2025-10-27,Category 7,Merchant 17,3534.14,175.43
2025-10-06,Category 4,Merchant 3,5530.36,266.84
2025-10-06,Category 8,Merchant 16,6527.63,208.23
2025-10-13,Category 3,Merchant 3,6393.85,254.67
2025-10-13,Category 1,Merchant 3,3559.08,195
2025-09-08,Category 6,Merchant 15,3548.43,202.92
2025-10-20,Category 9,Merchant 14,760.74,17.17
2025-10-27,Category 4,Merchant 19,1310.97,90.29
2025-10-27,Category 7,Merchant 2,2720.96,137.77
2025-10-20,Category 10,Merchant 4,4270.85,227.35
2025-09-22,Category 3,Merchant 7,3305.38,149.61
2025-09-29,Category 2,Merchant 3,2553.33,149.11
2025-09-15,Category 1,Merchant 13,1066.83,19.88
2025-10-27,Category 6,Merchant 11,5911.56,306.52
2025-09-08,Category 2,Merchant 10,3108.55,167.51
2025-10-06,Category 10,Merchant 16,958.43,41.49
2025-10-20,Category 9,Merchant 5,5340.08,346.23
2025-09-29,Category 7,Merchant 14,2852.65,150.6
2025-10-06,Category 8,Merchant 19,4037.64,210.14
2025-10-13,Category 1,Merchant 9,5400.8,304.47
2025-10-13,Category 4,Merchant 16,7293.9,382.01
2025-10-20,Category 7,Merchant 11,1901.66,111.51
2025-09-29,Category 7,Merchant 2,2132.42,111.96
2025-11-03,Category 8,Merchant 18,1001.92,67.87
2025-11-03,Category 2,Merchant 8,2627.29,117.64
2025-10-20,Category 8,Merchant 10,3013.42,176.32
2025-10-06,Category 4,Merchant 6,1078.65,57.85
2025-10-06,Category 5,Merchant 11,507.45,52.03
2025-09-08,Category 8,Merchant 2,4020.31,241.61
2025-09-08,Category 6,Merchant 2,3837.31,257.28
2025-11-03,Category 6,Merchant 15,3133.19,136.8
2025-09-22,Category 3,Merchant 17,4732.17,241.98
2025-10-06,Category 1,Merchant 20,2301.21,144.6
2025-10-06,Category 8,Merchant 5,2373.83,93.88
2025-10-20,Category 1,Merchant 6,1728.77,86.48
2025-10-27,Category 2,Merchant 17,3168.24,149.74
2025-09-08,Category 4,Merchant 19,1148.03,45.15
2025-09-08,Category 4,Merchant 4,2085.16,126.9
2025-10-13,Category 6,Merchant 17,6231.07,282.5
2025-09-15,Category 7,Merchant 13,1103.16,54.44
2025-10-27,Category 10,Merchant 6,3706.97,185.5
2025-11-03,Category 5,Merchant 15,1246.33,55.36
2025-09-29,Category 2,Merchant 10,5062.3,299.66
2025-09-22,Category 4,Merchant 2,3845.73,161.01
2025-10-20,Category 2,Merchant 11,5095.89,264.62
2025-10-20,Category 6,Merchant 6,2298.63,137.9
2025-09-22,Category 3,Merchant 16,3803.63,196.62
2025-10-27,Category 4,Merchant 13,3011.67,159.94
2025-10-06,Category 10,Merchant 5,525.34,55.95
2025-09-29,Category 9,Merchant 13,2048.18,123.59
2025-09-08,Category 1,Merchant 18,1330.18,71.15
2025-09-15,Category 9,Merchant 11,2956.84,205.93
2025-09-15,Category 5,Merchant 20,1309.68,77.48
2025-10-06,Category 3,Merchant 4,3375.3,167.89
2025-09-15,Category 2,Merchant 5,1758.99,113.84
2025-11-03,Category 1,Merchant 18,191.86,10.1
2025-10-06,Category 3,Merchant 2,3677.16,215.94
2025-09-22,Category 3,Merchant 3,5456.8,315.45
2025-09-29,Category 10,Merchant 16,799.46,61.82
2025-10-20,Category 8,Merchant 16,6899.34,402.69
2025-10-27,Category 1,Merchant 15,5976.88,342.44
2025-10-20,Category 5,Merchant 8,4163.67,150.59
2025-10-27,Category 3,Merchant 8,1070.79,36.24
2025-09-22,Category 1,Merchant 19,3232.96,142.77
2025-10-13,Category 5,Merchant 18,6458.05,361.98
2025-10-20,Category 2,Merchant 16,5657.55,276.75
2025-10-13,Category 3,Merchant 11,6067.2,246.89
2025-10-20,Category 7,Merchant 10,7897.3,412.82
2025-10-27,Category 3,Merchant 14,5444.93,322.23
2025-09-08,Category 8,Merchant 18,496.58,49.69
2025-09-15,Category 6,Merchant 15,5188.19,197.42
2025-09-15,Category 1,Merchant 19,3045.47,183.91
2025-09-29,Category 1,Merchant 17,1164.89,76.96
2025-11-03,Category 9,Merchant 5,4806.81,215.02
2025-10-13,Category 1,Merchant 7,3329.87,195.08
2025-11-03,Category 8,Merchant 11,3343.28,129.7
2025-09-08,Category 8,Merchant 4,2908.71,148.87
2025-10-13,Category 3,Merchant 19,4155.35,155.23
2025-10-13,Category 8,Merchant 1,1751.07,88.3
2025-10-20,Category 7,Merchant 18,4156.94,252.46
2025-09-15,Category 4,Merchant 12,6087.46,323.89
2025-10-06,Category 10,Merchant 6,4070.02,183.35
2025-09-08,Category 2,Merchant 2,4047.93,259.8
2025-09-15,Category 10,Merchant 11,1437.08,59.42
2025-10-20,Category 9,Merchant 3,4866.7,345.58
2025-10-20,Category 2,Merchant 18,3309.76,157
2025-09-15,Category 10,Merchant 6,4183.27,287.61
2025-09-15,Category 7,Merchant 16,2206.44,121.85
2025-10-27,Category 7,Merchant 9,4595.12,169.12
2025-10-20,Category 9,Merchant 4,2266.69,124.95
2025-09-22,Category 7,Merchant 8,3499.23,210.76
2025-09-29,Category 6,Merchant 3,1385.82,47.32
2025-09-08,Category 2,Merchant 7,9991.07,509.39
2025-10-06,Category 2,Merchant 2,6929.04,365.25
2025-11-03,Category 5,Merchant 9,2421.49,141.92
2025-10-20,Category 3,Merchant 18,4751.87,228.3
2025-11-03,Category 9,Merchant 1,3114.01,144.86
2025-10-27,Category 1,Merchant 6,1568.03,65.64
2025-09-29,Category 6,Merchant 7,1066.34,43.77
2025-10-13,Category 8,Merchant 10,5490.86,341.74
2025-09-22,Category 7,Merchant 14,4709.53,250.83
2025-10-27,Category 9,Merchant 1,3798.48,216.57
2025-09-15,Category 7,Merchant 1,1810.25,109.89
2025-09-22,Category 5,Merchant 11,2201.59,128.95
2025-09-29,Category 9,Merchant 9,3386.79,130.33
2025-10-13,Category 2,Merchant 20,1481.42,60.04
2025-10-20,Category 10,Merchant 10,2502.49,126.89
2025-09-22,Category 9,Merchant 9,2430.85,121.05
2025-11-03,Category 2,Merchant 7,11040.69,594.04
2025-09-22,Category 4,Merchant 19,2221.38,97.49
2025-09-22,Category 7,Merchant 17,4468.66,167.61
2025-09-08,Category 2,Merchant 16,2156.28,69.22
2025-09-22,Category 3,Merchant 19,5651.22,384.23
2025-10-06,Category 9,Merchant 6,3674.54,142.71
2025-09-22,Category 3,Merchant 14,9587.38,429.52
2025-09-08,Category 3,Merchant 12,2449.48,146.6
2025-11-03,Category 10,Merchant 4,2863.38,179.12
2025-09-22,Category 2,Merchant 11,6864.63,357.5
2025-10-20,Category 7,Merchant 9,4395.25,266.88
2025-09-22,Category 9,Merchant 6,5271.11,362.03
2025-09-22,Category 6,Merchant 4,1168.1,67.82
2025-10-06,Category 3,Merchant 13,3778.15,155.15
2025-10-13,Category 7,Merchant 3,4001.76,234.33
2025-10-20,Category 2,Merchant 10,3059.03,199.48
2025-09-08,Category 7,Merchant 1,1235.72,82.33
2025-11-03,Category 9,Merchant 7,2129.26,91.03
2025-10-13,Category 6,Merchant 14,5714.91,362.13
2025-09-15,Category 1,Merchant 15,6468.43,357.31
2025-11-03,Category 6,Merchant 18,1859.86,71.66
2025-09-08,Category 6,Merchant 7,396.79,25.21
2025-09-22,Category 6,Merchant 18,2137.06,45.39
2025-09-29,Category 1,Merchant 12,1419.4,51.97
2025-10-27,Category 5,Merchant 12,5082.78,287.66
2025-10-27,Category 2,Merchant 6,3174.64,78.26
2025-10-20,Category 6,Merchant 19,11901.17,752.33
2025-11-03,Category 10,Merchant 10,2868.15,181.76
2025-10-13,Category 6,Merchant 11,2919.89,150.96
2025-10-06,Category 9,Merchant 17,4728.62,244.78
2025-10-27,Category 8,Merchant 2,2677.05,98.31
2025-09-08,Category 6,Merchant 16,2100.49,107.68
2025-09-15,Category 8,Merchant 7,2568.98,159.04
2025-09-22,Category 6,Merchant 12,3423.39,206.34
2025-10-13,Category 8,Merchant 19,2859.7,153.05
2025-10-13,Category 7,Merchant 18,5091.48,273.77
2025-09-15,Category 1,Merchant 7,4733.9,277.69
2025-09-29,Category 8,Merchant 8,4134.44,248.17
2025-10-06,Category 9,Merchant 18,5118.73,248.63
2025-10-20,Category 4,Merchant 12,6317.2,340.61
2025-09-22,Category 10,Merchant 18,3216.18,195.27
2025-09-08,Category 5,Merchant 20,1654.71,42.87
2025-10-27,Category 5,Merchant 4,2772.44,140.78
2025-10-27,Category 9,Merchant 7,3762.27,167.57
2025-10-13,Category 5,Merchant 7,2448.41,136.97
2025-09-22,Category 10,Merchant 3,4272.6,233.9
2025-09-15,Category 1,Merchant 14,1222.48,31.54
2025-09-22,Category 6,Merchant 11,5287.15,234.99
2025-10-20,Category 3,Merchant 2,2456.19,108.15
2025-09-08,Category 7,Merchant 4,2703.83,143.74
2025-09-22,Category 7,Merchant 3,6940.75,371.06
2025-09-22,Category 7,Merchant 20,2341.98,112.68
2025-10-06,Category 1,Merchant 15,6219.86,277.89
2025-09-15,Category 7,Merchant 6,3668.52,173.9
2025-09-22,Category 9,Merchant 8,301.17,23.72
2025-09-22,Category 9,Merchant 16,1437.3,89.3
2025-11-03,Category 2,Merchant 10,3123.71,140.85
2025-10-13,Category 1,Merchant 8,3486.32,141.75
2025-10-06,Category 4,Merchant 16,7055.05,381.6
2025-10-27,Category 7,Merchant 20,3289.73,199.05
2025-09-29,Category 2,Merchant 9,4774.35,217.19
2025-09-29,Category 9,Merchant 15,1288.12,90.86
2025-10-20,Category 4,Merchant 8,1561.44,107.3
2025-09-22,Category 4,Merchant 10,1766.04,94.96
2025-09-29,Category 4,Merchant 7,1610.92,48.96
2025-09-29,Category 10,Merchant 18,2111.45,91.88
2025-10-27,Category 9,Merchant 12,8870.51,447.61
2025-11-03,Category 6,Merchant 4,771.47,69.39
2025-09-08,Category 8,Merchant 9,2343.17,168.48
2025-10-13,Category 1,Merchant 20,2283.87,127.38
2025-09-08,Category 7,Merchant 12,4210.39,243.97
2025-09-15,Category 4,Merchant 14,8556.33,427.16
2025-09-29,Category 2,Merchant 12,1338.42,69.48
2025-09-22,Category 7,Merchant 4,5155.61,307.4
2025-10-06,Category 8,Merchant 2,3328.07,187.12
2025-10-06,Category 7,Merchant 14,3569.96,175.88
2025-09-22,Category 10,Merchant 4,3219.08,193.76
2025-10-13,Category 4,Merchant 2,2591.81,115.88
2025-10-27,Category 4,Merchant 5,2858.6,141.73
2025-10-27,Category 7,Merchant 1,532.62,40.59
2025-09-29,Category 7,Merchant 18,5444.9,274.72
2025-10-06,Category 4,Merchant 2,3752.43,111.97
2025-10-13,Category 3,Merchant 4,2314.36,85.55
2025-10-27,Category 1,Merchant 20,1078.78,48.73
2025-11-03,Category 3,Merchant 14,5928.9,342.21
2025-10-06,Category 4,Merchant 7,847.15,48.17
2025-10-13,Category 2,Merchant 9,3788.69,204.8
2025-10-13,Category 5,Merchant 3,2433.93,135.18
2025-09-15,Category 9,Merchant 15,2474.76,115.88
2025-09-29,Category 5,Merchant 16,6364.04,301.47
2025-11-03,Category 3,Merchant 8,923.14,73.51
2025-09-29,Category 7,Merchant 9,3133.21,165.92
2025-10-13,Category 6,Merchant 7,1653.4,97.86
2025-09-15,Category 2,Merchant 12,2430.08,166.73
2025-09-29,Category 8,Merchant 7,2255.93,144.92
2025-09-29,Category 4,Merchant 19,3301.58,177.14
2025-09-08,Category 1,Merchant 7,2842.84,139.41
2025-10-27,Category 5,Merchant 18,4502.31,239.31
2025-10-13,Category 6,Merchant 16,3242.15,151.99
2025-09-15,Category 4,Merchant 18,4709.21,263.3
2025-10-20,Category 5,Merchant 14,9406.93,536.8
2025-10-27,Category 2,Merchant 20,1186.59,36.76
2025-10-27,Category 6,Merchant 5,3784.04,202.93
