merchant,week_start,revenue_gained,revenue_lost,coupons_used
Merchant 1,2025-09-08,5591.71,259.55,"{'NONE','SAVE10','WELCOME'}"
Merchant 1,2025-09-15,6857.06,445.25,"{'NONE','SAVE10','WELCOME'}"
Merchant 1,2025-09-22,7470.19,375.53,"{'NONE','SAVE10','WELCOME'}"
Merchant 1,2025-09-29,7266.62,371.76,"{'NONE','SAVE10','WELCOME'}"
Merchant 1,2025-10-06,6027.09,310.89,"{'NONE','SAVE10','WELCOME'}"
Merchant 1,2025-10-13,6896,366.58,"{'NONE','SAVE10','WELCOME'}"
Merchant 1,2025-10-20,6338.15,312.15,"{'NONE','SAVE10','WELCOME'}"
Merchant 1,2025-10-27,6171.79,354.6,"{'NONE','SAVE10','WELCOME'}"
Merchant 1,2025-11-03,5344.09,264.63,"{'NONE','SAVE10','WELCOME'}"
Merchant 10,2025-09-08,22053.84,1198.95,"{'NONE','SAVE10','WELCOME'}"
Merchant 10,2025-09-15,29919.23,1641.04,"{'NONE','SAVE10','WELCOME'}"
Merchant 10,2025-09-22,29229.14,1576.04,"{'NONE','SAVE10','WELCOME'}"
Merchant 10,2025-09-29,34935.04,1877.17,"{'NONE','SAVE10','WELCOME'}"
Merchant 10,2025-10-06,26540.04,1524.13,"{'NONE','SAVE10','WELCOME'}"
Merchant 10,2025-10-13,30377.67,1705.01,"{'NONE','SAVE10','WELCOME'}"
Merchant 10,2025-10-20,26919.73,1464.77,"{'NONE','SAVE10','WELCOME'}"
Merchant 10,2025-10-27,33354.14,1747.6,"{'NONE','SAVE10','WELCOME'}"
Merchant 10,2025-11-03,27289.01,1321.34,"{'NONE','SAVE10','WELCOME'}"
Merchant 11,2025-09-08,23205.27,1329.87,"{'NONE','SAVE10','WELCOME'}"
Merchant 11,2025-09-15,28526.66,1600.09,"{'NONE','SAVE10','WELCOME'}"
Merchant 11,2025-09-22,37770.87,1976.9,"{'NONE','SAVE10','WELCOME'}"
Merchant 11,2025-09-29,29050.45,1542,"{'NONE','SAVE10','WELCOME'}"
Merchant 11,2025-10-06,32010.64,1668.12,"{'NONE','SAVE10','WELCOME'}"
Merchant 11,2025-10-13,34236.68,1674.36,"{'NONE','SAVE10','WELCOME'}"
Merchant 11,2025-10-20,24397.53,1361.29,"{'NONE','SAVE10','WELCOME'}"
Merchant 11,2025-10-27,36306.46,1758.92,"{'NONE','SAVE10','WELCOME'}"
Merchant 11,2025-11-03,25193.05,1283.7,"{'NONE','SAVE10','WELCOME'}"
Merchant 12,2025-09-08,34497.08,1905,"{'NONE','SAVE10','WELCOME'}"
Merchant 12,2025-09-15,41353.4,2294.26,"{'NONE','SAVE10','WELCOME'}"
Merchant 12,2025-09-22,44515.07,2465.93,"{'NONE','SAVE10','WELCOME'}"
Merchant 12,2025-09-29,42859.05,2291.75,"{'NONE','SAVE10','WELCOME'}"
Merchant 12,2025-10-06,42511.42,2233.42,"{'NONE','SAVE10','WELCOME'}"
Merchant 12,2025-10-13,46681.39,2420.02,"{'NONE','SAVE10','WELCOME'}"
Merchant 12,2025-10-20,42402.31,2259.69,"{'NONE','SAVE10','WELCOME'}"
Merchant 12,2025-10-27,40499.71,2105.65,"{'NONE','SAVE10','WELCOME'}"
Merchant 12,2025-11-03,33853.63,1854.25,"{'NONE','SAVE10','WELCOME'}"
Merchant 13,2025-09-08,22754.39,1286.59,"{'NONE','SAVE10','WELCOME'}"
Merchant 13,2025-09-15,30928.22,1660.77,"{'NONE','SAVE10','WELCOME'}"
Merchant 13,2025-09-22,33511.88,1704.17,"{'NONE','SAVE10','WELCOME'}"
Merchant 13,2025-09-29,26849.61,1380.6,"{'NONE','SAVE10','WELCOME'}"
Merchant 13,2025-10-06,29329.65,1533.74,"{'NONE','SAVE10','WELCOME'}"
Merchant 13,2025-10-13,30274.98,1650.04,"{'NONE','SAVE10','WELCOME'}"
Merchant 13,2025-10-20,29131.69,1382.03,"{'NONE','SAVE10','WELCOME'}"
Merchant 13,2025-10-27,35663.17,1986.08,"{'NONE','SAVE10','WELCOME'}"
Merchant 13,2025-11-03,27193.45,1167.13,"{'NONE','SAVE10','WELCOME'}"
Merchant 14,2025-09-08,33435.21,1781.34,"{'NONE','SAVE10','WELCOME'}"
Merchant 14,2025-09-15,36014.76,1905.01,"{'NONE','SAVE10','WELCOME'}"
Merchant 14,2025-09-22,39691.11,1899.58,"{'NONE','SAVE10','WELCOME'}"
Merchant 14,2025-09-29,43147.29,2277.14,"{'NONE','SAVE10','WELCOME'}"
Merchant 14,2025-10-06,41966.76,2312.5,"{'NONE','SAVE10','WELCOME'}"
Merchant 14,2025-10-13,39523.54,1936.81,"{'NONE','SAVE10','WELCOME'}"
Merchant 14,2025-10-20,40618.38,2101.21,"{'NONE','SAVE10','WELCOME'}"
Merchant 14,2025-10-27,36203.56,2055.71,"{'NONE','SAVE10','WELCOME'}"
Merchant 14,2025-11-03,33421.01,1820.03,"{'NONE','SAVE10','WELCOME'}"
Merchant 15,2025-09-08,22751.57,1144.81,"{'NONE','SAVE10','WELCOME'}"
Merchant 15,2025-09-15,27602.57,1413.98,"{'NONE','SAVE10','WELCOME'}"
Merchant 15,2025-09-22,29634.47,1540.44,"{'NONE','SAVE10','WELCOME'}"
Merchant 15,2025-09-29,30935.87,1906.11,"{'NONE','SAVE10','WELCOME'}"
Merchant 15,2025-10-06,27518.36,1404.28,"{'NONE','SAVE10','WELCOME'}"
Merchant 15,2025-10-13,28853.42,1480.64,"{'NONE','SAVE10','WELCOME'}"
Merchant 15,2025-10-20,27135.9,1310.15,"{'NONE','SAVE10','WELCOME'}"
Merchant 15,2025-10-27,24844.58,1440.25,"{'NONE','SAVE10','WELCOME'}"
Merchant 15,2025-11-03,21098.1,974.56,"{'NONE','SAVE10','WELCOME'}"
Merchant 16,2025-09-08,23893.11,1251.06,"{'NONE','SAVE10','WELCOME'}"
Merchant 16,2025-09-15,32425.39,1888.75,"{'NONE','SAVE10','WELCOME'}"
Merchant 16,2025-09-22,37111.09,1938.27,"{'NONE','SAVE10','WELCOME'}"
Merchant 16,2025-09-29,33746.41,1722.41,"{'NONE','SAVE10','WELCOME'}"
Merchant 16,2025-10-06,35015.87,1601.05,"{'NONE','SAVE10','WELCOME'}"
Merchant 16,2025-10-13,32010.64,1681.75,"{'NONE','SAVE10','WELCOME'}"
Merchant 16,2025-10-20,35091.91,1865,"{'NONE','SAVE10','WELCOME'}"
Merchant 16,2025-10-27,33187.88,1931.47,"{'NONE','SAVE10','WELCOME'}"
Merchant 16,2025-11-03,29441.13,1396.38,"{'NONE','SAVE10','WELCOME'}"
Merchant 17,2025-09-08,23837.11,1286.95,"{'NONE','SAVE10','WELCOME'}"
Merchant 17,2025-09-15,31371.03,1692.87,"{'NONE','SAVE10','WELCOME'}"
Merchant 17,2025-09-22,33741.47,1687.06,"{'NONE','SAVE10','WELCOME'}"
Merchant 17,2025-09-29,32492.67,1852.53,"{'NONE','SAVE10','WELCOME'}"
